  ;Poids-kg;Diam-m;Def-m;Fmax-N;Fermeté/dép;Travail;p.c.perte;Pression;L surimp;a surimp;b surimp;L fond;a fond;b fond;Ethylène (nmole/h.kg;Log(éthyl);IR (°Brix);AT (meq/100gMF);glucose (g/100gMF);fructose (g/100gMF);saccharose (g/100gMF;citrate (meq/100gMF);malate (meq/100gMF)
be1p20                                   ;0.0554 ;0.045762 ;0.0013625 ;7.91 ;5803.2 ;5.39 ;1.61 ;81.95 ;36.99 ;38.52 ;21.31 ;63.2 ;12.27 ;51.63 ;20.356 ;3.01 ;11 ;30.64 ;1.8 ;0.72 ;4.46 ;10.07 ;25.95
be1p21                                   ;0.0701 ;0.04895 ;0.00145 ;9.4 ;6481.4 ;6.81 ;1.63 ;85.56 ;55.5 ;20.74 ;40.84 ;63.02 ;11.6 ;50.01 ;19.968 ;2.99 ;11.3 ;29.26 ;1.56 ;0.63 ;4.68 ;9.66 ;24.9
be1p22                                   ;0.0609 ;0.046663 ;0.0013875 ;9.79 ;7056.1 ;6.79 ;1.42 ;97.72 ;41.46 ;34.93 ;25.43 ;64.27 ;12.61 ;54.23 ;16.662 ;2.81 ;11 ;29.52 ;1.71 ;0.72 ;4.38 ;9.05 ;24.84
be1p23                                   ;0.0712 ;0.049125 ;0.0014625 ;12.3 ;8411.5 ;9 ;1.32 ;110.65 ;50.61 ;25.9 ;35.98 ;59.39 ;9.46 ;47.27 ;14.228 ;2.66 ;10.5 ;29.8 ;1.78 ;0.68 ;4.09 ;9.39 ;25.11
be1p24                                   ;0.054 ;0.044963 ;0.0013375 ;7.1 ;5310.2 ;4.75 ;1.53 ;76.32 ;57.19 ;23.51 ;42.47 ;65.97 ;12.18 ;55.07 ;18.599 ;2.92 ;10.8 ;26.72 ;1.79 ;0.7 ;4.2 ;7.68 ;22.52
be1p25                                   ;0.0652 ;0.0461 ;0.001375 ;8.77 ;6378.3 ;6.03 ;1.52 ;89.41 ;54.42 ;18.69 ;44.64 ;56.8 ;21.52 ;43.58 ;21.586 ;3.07 ;12 ;29.58 ;1.95 ;0.67 ;4.98 ;10.76 ;24.44
be1p26                                   ;0.0601 ;0.0472 ;0.0014 ;7.28 ;5199.3 ;5.1 ;1.54 ;71.18 ;49.16 ;33.74 ;34.09 ;63.03 ;16.77 ;52.54 ;27.15 ;3.3 ;12.3 ;28.04 ;1.97 ;0.76 ;4.69 ;8.98 ;24.37
be1p27                                   ;0.0594 ;0.045312 ;0.00135 ;8.39 ;6213 ;5.66 ;1.43 ;88.61 ;47.68 ;31.63 ;33.67 ;60.51 ;16.19 ;47.9 ;23.089 ;3.14 ;10 ;33.12 ;2.27 ;0.87 ;5.69 ;10.52 ;27.69
be1p28                                   ;0.0612 ;0.04675 ;0.0013875 ;8.59 ;6193.6 ;5.96 ;1.58 ;85.61 ;58.32 ;18.51 ;44.61 ;62.44 ;15.46 ;50.88 ;16.04 ;2.78 ;10.3 ;30.79 ;1.75 ;0.7 ;4.94 ;10.3 ;26.84
be1p29                                   ;0.0644 ;0.048563 ;0.00145 ;8.17 ;5635.7 ;5.92 ;1.54 ;75 ;48.56 ;32.13 ;32.6 ;62.89 ;13.76 ;51.62 ;28.272 ;3.34 ;12.1 ;30.14 ;2.23 ;0.89 ;5.59 ;9.5 ;25.09
be1p30                                   ;0.058 ;0.047 ;0.0014 ;8.48 ;6054.2 ;5.93 ;1.41 ;83.24 ;48.86 ;31.44 ;33.24 ;60.29 ;13 ;50.6 ;22.468 ;3.11 ;12 ;31.12 ;1.97 ;0.85 ;5.22 ;10.54 ;25.95
be1p31                                   ;0.0551 ;0.046 ;0.0013625 ;7.35 ;5392.8 ;5.01 ;1.49 ;75.76 ;42.73 ;36.91 ;25.53 ;63.87 ;14.15 ;51.41 ;15.221 ;2.72 ;11.4 ;30.28 ;1.88 ;0.7 ;4.57 ;10.34 ;26.33
be1p32                                   ;0.0654 ;0.047337 ;0.0014125 ;8.88 ;6285.4 ;6.27 ;1.51 ;85.81 ;54.93 ;25.07 ;41.66 ;63.84 ;10.14 ;51.83 ;20.736 ;3.03 ;11.9 ;29.17 ;1.75 ;0.73 ;5.33 ;10.1 ;24.54
be1p33                                   ;0.0629 ;0.048325 ;0.0014375 ;9.31 ;6476.3 ;6.69 ;1.71 ;86.61 ;59.74 ;21.74 ;48.61 ;56.59 ;17.81 ;43.15 ;18.27 ;2.91 ;11.7 ;30.33 ;1.88 ;0.7 ;4.72 ;10.12 ;26.37
be1p34                                   ;0.0616 ;0.04735 ;0.0014125 ;6.51 ;4611.6 ;4.6 ;1.58 ;62.94 ;48.42 ;38.15 ;35.2 ;62.03 ;14.15 ;50.16 ;26.003 ;3.26 ;11.9 ;26.13 ;2.05 ;0.77 ;5.22 ;8.9 ;23.26
be1p35                                   ;0.0633 ;0.049638 ;0.001475 ;9.6 ;6511.2 ;7.08 ;1.59 ;84.77 ;48.96 ;32.77 ;32.57 ;63.36 ;13.54 ;50.17 ;18.096 ;2.9 ;11.3 ;29.91 ;2.05 ;0.79 ;4.41 ;8.79 ;25.94
be1p36                                   ;0.0619 ;0.046538 ;0.0013875 ;7.77 ;5599.6 ;5.39 ;1.34 ;77.76 ;52.68 ;27.28 ;35.17 ;67.33 ;9.03 ;53.38 ;13.19 ;2.58 ;9.7 ;21.04 ;1.88 ;0.85 ;3.68 ;5.65 ;20.4
be1p37                                   ;0.0703 ;0.048025 ;0.001425 ;11.31 ;7937.5 ;8.06 ;1.2 ;106.8 ;42.75 ;31.61 ;26.11 ;65.13 ;9.6 ;52.24 ;18.619 ;2.92 ;11.2 ;29.09 ;2.07 ;0.85 ;4.5 ;11.69 ;23.53
be1p38                                   ;0.0687 ;0.04855 ;0.00145 ;12.36 ;8524.5 ;8.96 ;1.36 ;113.47 ;50.13 ;24.59 ;35.24 ;64.32 ;8.63 ;50.85 ;8.563 ;2.15 ;10.2 ;30.39 ;1.95 ;0.85 ;3.79 ;8.88 ;27.69
be1p39                                   ;0.0661 ;0.047462 ;0.0014125 ;9.69 ;6861.8 ;6.85 ;1.61 ;93.43 ;52.64 ;22.44 ;38.28 ;60.15 ;17.71 ;48.4 ;23.585 ;3.16 ;12.2 ;30.06 ;2.05 ;0.81 ;5.04 ;10.66 ;24.74
be1p40                                   ;0.0764 ;0.049975 ;0.0014875 ;10.79 ;7254.4 ;8.03 ;1.3 ;93.81 ;54.27 ;24.17 ;39.15 ;62.67 ;18.69 ;49.47 ;21.821 ;3.08 ;11 ;31.25 ;1.87 ;0.75 ;4.35 ;9.34 ;27.06
be2p01                                   ;0.0712 ;0.048337 ;0.0014375 ;10.14 ;7056.4 ;7.29 ;1.24 ;94.34 ;48.77 ;28.42 ;29.34 ;63.63 ;14.38 ;52.95 ;17.994 ;2.89 ;11.8 ;27.28 ;1.98 ;0.75 ;5.19 ;8.6 ;18.85
be2p02                                   ;0.057 ;0.04485 ;0.0013375 ;5.94 ;4444.8 ;3.98 ;1.56 ;64.05 ;42.64 ;40.23 ;27.68 ;63.69 ;16.73 ;53.71 ;39.357 ;3.67 ;11.6 ;22.99 ;1.98 ;0.76 ;5.17 ;6.35 ;18.81
be2p03                                   ;0.0613 ;0.047175 ;0.0014 ;8.76 ;6257.4 ;6.13 ;1.62 ;85.71 ;46.48 ;33.75 ;29.33 ;59.4 ;16.27 ;47.61 ;21.157 ;3.05 ;11.4 ;29.03 ;1.63 ;0.6 ;5.42 ;8.14 ;21.83
be2p04                                   ;0.0769 ;0.05105 ;0.001525 ;10.11 ;6632.2 ;7.71 ;1.64 ;83.96 ;48.05 ;30.96 ;33.69 ;59.59 ;16.36 ;44.71 ;18.282 ;2.91 ;11.9 ;31.94 ;1.88 ;0.73 ;6.13 ;10.08 ;23.06
be2p05                                   ;0.0628 ;0.0461 ;0.001375 ;9.28 ;6749.3 ;6.38 ;1.3 ;94.62 ;50.79 ;30.57 ;31.84 ;63.33 ;15.43 ;50.82 ;15.358 ;2.73 ;12.5 ;28.11 ;2.23 ;0.88 ;5.19 ;8.78 ;19.76
be2p06                                   ;0.1164 ;0.048587 ;0.00145 ;7.55 ;5209.4 ;5.48 ;1.62 ;69.29 ;43.83 ;37.88 ;29.53 ;60.13 ;18.49 ;46.23 ;8.424 ;2.13 ;11 ;21.59 ;1.86 ;0.76 ;4.46 ;5.5 ;17.81
be2p07                                   ;0.0556 ;0.045262 ;0.00135 ;9.05 ;6707.1 ;6.11 ;1.6 ;95.76 ;44.85 ;37.79 ;29.84 ;57.21 ;20.89 ;42.73 ;20.152 ;3 ;12.6 ;30.19 ;2.13 ;0.65 ;5.06 ;10.58 ;21.38
be2p08                                   ;0.0848 ;0.052025 ;0.00155 ;8.93 ;5759.4 ;6.92 ;1.54 ;71.54 ;47.19 ;36.88 ;31.2 ;61.98 ;18.99 ;51.62 ;25.275 ;3.23 ;11.7 ;27.66 ;1.98 ;0.7 ;4.67 ;7.84 ;21.02
be2p09                                   ;0.0672 ;0.04785 ;0.001425 ;7.35 ;5156.3 ;5.24 ;1.49 ;69.64 ;47.68 ;34.23 ;32.06 ;63.95 ;15.46 ;52.02 ;26.243 ;3.27 ;11.8 ;28.08 ;2.38 ;0.89 ;7.14 ;8.13 ;22.43
be2p10                                   ;0.0727 ;0.050537 ;0.0015 ;9.1 ;6069.1 ;6.83 ;1.43 ;77.6 ;45.92 ;37.99 ;28.64 ;62.04 ;15.46 ;49.77 ;13.553 ;2.61 ;11.3 ;26.48 ;1.79 ;0.7 ;5 ;9.36 ;21.06
be2p11                                   ;0.0616 ;0.047188 ;0.0014 ;6.55 ;4680.8 ;4.59 ;1.62 ;64.1 ;39.99 ;37.71 ;23.11 ;60.17 ;21.16 ;47.02 ;15.156 ;2.72 ;12 ;24.01 ;2.57 ;0.91 ;5.69 ;9.75 ;15.92
be2p12                                   ;0.0675 ;0.04775 ;0.001425 ;8.71 ;6113.2 ;6.21 ;1.65 ;82.74 ;45.71 ;33.46 ;27.48 ;62.91 ;15.49 ;51.89 ;11.23 ;2.42 ;11.3 ;29.45 ;2.28 ;0.79 ;5.84 ;9.92 ;21.62
be2p13                                   ;0.0626 ;0.046813 ;0.0013875 ;7.05 ;5083.5 ;4.89 ;1.5 ;70.17 ;57.82 ;27.62 ;46.39 ;65.19 ;15.75 ;52.64 ;68.323 ;4.22 ;13 ;28.34 ;2.53 ;0.99 ;7.22 ;6.91 ;23.83
be2p14                                   ;0.0495 ;0.044062 ;0.0013125 ;5.49 ;4185.6 ;3.61 ;1.59 ;61.39 ;46.03 ;34.88 ;29.59 ;65.16 ;18.23 ;54.04 ;21.622 ;3.07 ;11.9 ;26.57 ;2.37 ;0.8 ;5.8 ;10.6 ;18.52
be2p15                                   ;0.0652 ;0.046663 ;0.0013875 ;6.52 ;4701.7 ;4.53 ;1.61 ;65.11 ;46.65 ;34.37 ;27.38 ;64.53 ;18.77 ;54.55 ;29.05 ;3.37 ;12.4 ;25.56 ;2.5 ;0.93 ;5.57 ;7.51 ;19.43
be2p16                                   ;0.0801 ;0.051925 ;0.00155 ;9.64 ;6221.4 ;7.47 ;1.42 ;77.43 ;59.16 ;22.42 ;45.32 ;60.12 ;15.86 ;48.22 ;35.423 ;3.57 ;11.8 ;30.67 ;1.7 ;0.67 ;5.05 ;7.79 ;24.04
be2p17                                   ;0.0638 ;0.047837 ;0.001425 ;7.39 ;5183.8 ;5.26 ;1.49 ;70.03 ;54.26 ;26.87 ;39.94 ;59.84 ;20.77 ;46.13 ;20.701 ;3.03 ;14.1 ;26.7 ;1.84 ;0.72 ;5.28 ;8.06 ;22.51
be2p18                                   ;0.0632 ;0.046225 ;0.001375 ;8.3 ;6035.8 ;5.71 ;1.51 ;84.38 ;44.52 ;32.58 ;26.81 ;61.69 ;16.73 ;49.12 ;10.496 ;2.35 ;11.9 ;27.89 ;2.49 ;0.87 ;5.01 ;9.98 ;20.22
be2p19                                   ;0.0766 ;0.050737 ;0.0015125 ;8.87 ;5863.3 ;6.71 ;1.58 ;74.68 ;48.01 ;30.82 ;33.16 ;62.83 ;14.46 ;51.97 ;20.584 ;3.02 ;14 ;28.86 ;1.99 ;0.73 ;5.02 ;9.44 ;21.33
be2p20                                   ;0.0833 ;0.051588 ;0.0015375 ;7.44 ;4836.4 ;5.72 ;1.48 ;60.59 ;40.51 ;39.41 ;25.16 ;60.6 ;17.83 ;46.94 ;41.488 ;3.73 ;14.3 ;26.6 ;2.69 ;1.04 ;7.45 ;9.38 ;19.07
be2p21                                   ;0.0808 ;0.0516 ;0.0015375 ;11.53 ;7497.1 ;8.86 ;1.41 ;93.89 ;48.6 ;33.2 ;33.81 ;62.71 ;15.85 ;50.9 ;19.673 ;2.98 ;11.8 ;30.57 ;2.21 ;0.83 ;6.15 ;9.73 ;24.11
be2p22                                   ;0.0633 ;0.04705 ;0.0014 ;4.74 ;3384.4 ;3.32 ;1.59 ;46.49 ;45.18 ;36.59 ;29.72 ;64.97 ;15.22 ;54.31 ;26.813 ;3.29 ;11.6 ;20.73 ;2.08 ;0.74 ;5.78 ;6.28 ;17.15
be2p23                                   ;0.0637 ;0.047012 ;0.0014 ;9.32 ;6656.8 ;6.52 ;1.49 ;91.51 ;56.91 ;24.86 ;43.98 ;65.06 ;14.46 ;53.81 ;28.892 ;3.36 ;11.8 ;28.31 ;2.21 ;0.91 ;5.42 ;6.59 ;22.33
be2p24                                   ;0.0692 ;0.048775 ;0.00145 ;8.09 ;5581.6 ;5.87 ;1.61 ;73.95 ;53.56 ;24.38 ;41.17 ;60.19 ;13.99 ;49.3 ;34.841 ;3.55 ;13.3 ;29.21 ;2.03 ;0.78 ;5.77 ;6.74 ;23.1
be2p25                                   ;0.0592 ;0.04605 ;0.001375 ;7.36 ;5350.9 ;5.06 ;1.63 ;75.09 ;43.52 ;32.79 ;25.73 ;58.6 ;18.03 ;46.84 ;24.348 ;3.19 ;11.7 ;27.97 ;1.96 ;0.72 ;5.28 ;8.37 ;22.51
be2p26                                   ;0.0577 ;0.044112 ;0.0013125 ;4.99 ;3804.4 ;3.28 ;1.45 ;55.73 ;52.89 ;30.22 ;38.14 ;62.65 ;15.35 ;53.11 ;29.832 ;3.4 ;10.9 ;21.66 ;2.67 ;1.01 ;5.57 ;6 ;18.35
be2p27                                   ;0.075 ;0.052425 ;0.0015625 ;8.07 ;5167.1 ;6.31 ;1.69 ;63.7 ;52.01 ;31.44 ;37.33 ;60.24 ;17.08 ;45.45 ;27.101 ;3.3 ;12 ;30.14 ;1.6 ;0.64 ;5.16 ;8.64 ;22.48
